	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Spermidine-e0	Phosphate-e0	Bacteroides_caecimuris_I48	-254.91550983988725	254.91550983988725	-1.0	15.966073713968855	-15.966073713968855
16	Spermidine-e0	Mn2+-e0	Bacteroides_caecimuris_I48	-1.8482225200599682	1.8482225200599682	-1.0	1.3594934792267186	-1.3594934792267186
30	Spermidine-e0	Zn2+-e0	Bacteroides_caecimuris_I48	-1.848222520057872	1.848222520057872	-1.0	1.3594934792259477	-1.3594934792259477
44	Spermidine-e0	Sulfate-e0	Bacteroides_caecimuris_I48	-1.848222517120543	1.848222517120543	-1.0	1.359493478145645	-1.359493478145645
58	Spermidine-e0	Co2+-e0	Bacteroides_caecimuris_I48	-1.8482225200569895	1.8482225200569895	-1.0	1.359493479225623	-1.359493479225623
73	Spermidine-e0	Spermidine-e0	Bacteroides_caecimuris_I48	-1.000000000000155	1.000000000000155	-1.0	1.0000000000000775	-1.0000000000000775
74	Spermidine-e0	fe3-e0	Bacteroides_caecimuris_I48	-1.8482225189377106	1.8482225189377106	-1.0	1.35949347881397	-1.35949347881397
89	Spermidine-e0	H+-e0	Bacteroides_caecimuris_I48	-1590.3550943518217	1590.3550943518217	-1.0	39.879256441812224	-39.879256441812224
95	L-Aspartate-e0	H+-e0	Bacteroides_caecimuris_I48	-1.000000000084578	1.000000000084578	-1.0	1.0000000000422888	-1.0000000000422888
96	D-Glucose-e0	H+-e0	Bacteroides_caecimuris_I48	1.999999999848085	1.999999999848085	1.0	1.414213562319385	1.414213562319385
97	Adenosine-e0	H+-e0	Bacteroides_caecimuris_I48	-2.0000000001026668	2.0000000001026668	-1.0	1.4142135624093932	-1.4142135624093932
112	Glycerol-e0	H+-e0	Bacteroides_caecimuris_I48	0.9999999999188364	0.9999999999188364	1.0	0.9999999999594181	0.9999999999594181
122	Spermidine-e0	Uracil-e0	Bacteroides_caecimuris_I48	-79.28446172963261	79.28446172963261	-1.0	8.904182260580283	-8.904182260580283
155	L-Aspartate-e0	L-Aspartate-e0	Bacteroides_caecimuris_I48	-0.9999999999999999	0.9999999999999999	-1.0	0.9999999999999999	-0.9999999999999999
156	D-Glucose-e0	D-Glucose-e0	Bacteroides_caecimuris_I48	-1.0000000000000002	1.0000000000000002	-1.0	1.0	-1.0
157	Spermidine-e0	L-Cysteine-e0	Bacteroides_caecimuris_I48	-26.02701191987002	26.02701191987002	-1.0	5.101667562657334	-5.101667562657334
172	Spermidine-e0	L-Glutamate-e0	Bacteroides_caecimuris_I48	-131.08837103585978	131.08837103585978	-1.0	11.449382998042287	-11.449382998042287
188	Spermidine-e0	L-Histidine-e0	Bacteroides_caecimuris_I48	-22.78656405575295	22.78656405575295	-1.0	4.773527422750701	-4.773527422750701
202	Spermidine-e0	L-Arginine-e0	Bacteroides_caecimuris_I48	-72.14471666158707	72.14471666158707	-1.0	8.49380460462725	-8.49380460462725
216	Spermidine-e0	L-Lysine-e0	Bacteroides_caecimuris_I48	-82.5379986898531	82.5379986898531	-1.0	9.085042580519538	-9.085042580519538
230	Spermidine-e0	Inosine-e0	Bacteroides_caecimuris_I48	-115.16957119153301	115.16957119153301	-1.0	10.731708679960196	-10.731708679960196
234	Adenosine-e0	Inosine-e0	Bacteroides_caecimuris_I48	0.9999999999922239	0.9999999999922239	1.0	0.9999999999961119	0.9999999999961119
251	Adenosine-e0	Adenosine-e0	Bacteroides_caecimuris_I48	-1.0000000000000002	1.0000000000000002	-1.0	1.0	-1.0
252	Spermidine-e0	NH3-e0	Bacteroides_caecimuris_I48	-672.0623463183622	672.0623463183622	-1.0	25.924165296463496	-25.924165296463496
257	L-Aspartate-e0	NH3-e0	Bacteroides_caecimuris_I48	0.9999999999616617	0.9999999999616617	1.0	0.9999999999808308	0.9999999999808308
258	Adenosine-e0	NH3-e0	Bacteroides_caecimuris_I48	0.9999999999537437	0.9999999999537437	1.0	0.9999999999768718	0.9999999999768718
274	L-Serine	NH3-e0	Bacteroides_caecimuris_I48	0.9999999999755831	0.9999999999755831	1.0	0.9999999999877915	0.9999999999877915
276	Spermidine-e0	Neu5Ac-e0	Bacteroides_caecimuris_I48	-13.9853940473575	13.9853940473575	-1.0	3.7397050749166705	-3.7397050749166705
291	Spermidine-e0	Acetate-e0	Bacteroides_caecimuris_I48	-1918.0202161149352	1918.0202161149352	-1.0	43.79520768434527	-43.79520768434527
296	L-Aspartate-e0	Acetate-e0	Bacteroides_caecimuris_I48	0.9999999998937633	0.9999999998937633	1.0	0.9999999999468816	0.9999999999468816
297	D-Glucose-e0	Acetate-e0	Bacteroides_caecimuris_I48	1.9999999998091473	1.9999999998091473	1.0	1.4142135623056185	1.4142135623056185
298	Adenosine-e0	Acetate-e0	Bacteroides_caecimuris_I48	0.9999999998714669	0.9999999998714669	1.0	0.9999999999357334	0.9999999999357334
312	Glycerol-e0	Acetate-e0	Bacteroides_caecimuris_I48	0.9999999998983641	0.9999999998983641	1.0	0.999999999949182	0.999999999949182
