	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
1	PAN	Bacteroides_caecimuris_I48	Metabolite	126.68907411617695	None	-1	126.68907411617695	1.0	11.255624110469261	11.255624110469261
4	Bacteroides_caecimuris_I48	Phosphate-e0	Microbe	-127.45775495817237	PAN	0	127.45775495817237	-1.0	11.289718993764742	-11.289718993764742
6	Bacteroides_caecimuris_I48	Mn2+-e0	Microbe	-0.9241112603084616	PAN	0	0.9241112603084616	-1.0	0.9613070582849486	-0.9613070582849486
8	Bacteroides_caecimuris_I48	Zn2+-e0	Microbe	-0.9241112603077988	PAN	0	0.9241112603077988	-1.0	0.9613070582846038	-0.9613070582846038
22	Bacteroides_caecimuris_I48	Sulfate-e0	Microbe	-0.9241112589991964	PAN	0	0.9241112589991964	-1.0	0.9613070576039668	-0.9613070576039668
25	Bacteroides_caecimuris_I48	Co2+-e0	Microbe	-0.92411126030627	PAN	0	0.92411126030627	-1.0	0.9613070582838087	-0.9613070582838087
27	Bacteroides_caecimuris_I48	Spermidine-e0	Microbe	-0.9999999999999994	Spermidine-e0	1	0.9999999999999994	-1.0	0.9999999999999997	-0.9999999999999997
41	Bacteroides_caecimuris_I48	fe3-e0	Microbe	-0.9241112598033544	PAN	0	0.9241112598033544	-1.0	0.9613070580222296	-0.9613070580222296
44	Bacteroides_caecimuris_I48	H+-e0	Microbe	5.666666666657012	Spermidine-e0	0	5.666666666657012	1.0	2.3804761428455885	2.3804761428455885
50	Bacteroides_caecimuris_I48	H+-e0	Microbe	1.9999999999919849	D-Glucose-e0	0	1.9999999999919849	1.0	1.4142135623702612	1.4142135623702612
73	Bacteroides_caecimuris_I48	H+-e0	Microbe	-1.666666666676213	Folate	0	1.666666666676213	-1.0	1.2909944487395029	-1.2909944487395029
74	Bacteroides_caecimuris_I48	H+-e0	Microbe	-0.6666666666829197	Riboflavin	0	0.6666666666829197	-1.0	0.816496580937679	-0.816496580937679
75	Bacteroides_caecimuris_I48	H+-e0	Microbe	-942.228627133082	PAN	0	942.228627133082	-1.0	30.695742817743994	-30.695742817743994
94	Bacteroides_caecimuris_I48	Uracil-e0	Microbe	-39.64223087680539	PAN	0	39.64223087680539	-1.0	6.296207658329369	-6.296207658329369
131	Bacteroides_caecimuris_I48	L-Aspartate-e0	Microbe	-234.46486363414104	PAN	0	234.46486363414104	-1.0	15.312245545123062	-15.312245545123062
133	Bacteroides_caecimuris_I48	D-Glucose-e0	Microbe	-0.9999999999999977	D-Glucose-e0	1	0.9999999999999977	-1.0	0.9999999999999988	-0.9999999999999988
147	Bacteroides_caecimuris_I48	L-Cysteine-e0	Microbe	-13.013505963926661	PAN	0	13.013505963926661	-1.0	3.6074237294677016	-3.6074237294677016
162	Bacteroides_caecimuris_I48	L-Histidine-e0	Microbe	-11.393282031290301	PAN	0	11.393282031290301	-1.0	3.3753936113126572	-3.3753936113126572
164	Bacteroides_caecimuris_I48	L-Arginine-e0	Microbe	0.9999999999997446	Spermidine-e0	0	0.9999999999997446	1.0	0.9999999999998723	0.9999999999998723
178	Bacteroides_caecimuris_I48	L-Arginine-e0	Microbe	-36.57235834178248	PAN	0	36.57235834178248	-1.0	6.047508440819449	-6.047508440819449
193	Bacteroides_caecimuris_I48	L-Lysine-e0	Microbe	-41.268999357334664	PAN	0	41.268999357334664	-1.0	6.4240952170196435	-6.4240952170196435
213	Bacteroides_caecimuris_I48	Inosine-e0	Microbe	0.9999999999991117	Folate	0	0.9999999999991117	1.0	0.9999999999995558	0.9999999999995558
214	Bacteroides_caecimuris_I48	Inosine-e0	Microbe	0.9999999999988536	Riboflavin	0	0.9999999999988536	1.0	0.9999999999994268	0.9999999999994268
215	Bacteroides_caecimuris_I48	Inosine-e0	Microbe	-60.0847856134607	PAN	0	60.0847856134607	-1.0	7.751437648169577	-7.751437648169577
219	Bacteroides_caecimuris_I48	NH3-e0	Microbe	-1.9999999999997151	Spermidine-e0	0	1.9999999999997151	-1.0	1.4142135623729943	-1.4142135623729943
237	Bacteroides_caecimuris_I48	NH3-e0	Microbe	1.0000000000009215	L-Serine	0	1.0000000000009215	1.0	1.0000000000004607	1.0000000000004607
238	Bacteroides_caecimuris_I48	NH3-e0	Microbe	1.0000000000046454	Folate	0	1.0000000000046454	1.0	1.0000000000023226	1.0000000000023226
239	Bacteroides_caecimuris_I48	NH3-e0	Microbe	-113.57157603488089	PAN	0	113.57157603488089	-1.0	10.656996576657088	-10.656996576657088
254	Bacteroides_caecimuris_I48	Neu5Ac-e0	Microbe	-6.9926970258295835	PAN	0	6.9926970258295835	-1.0	2.644370818518005	-2.644370818518005
257	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	1.6666666666585095	Spermidine-e0	0	1.6666666666585095	1.0	1.2909944487326463	1.2909944487326463
262	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	1.9999999999930798	D-Glucose-e0	0	1.9999999999930798	1.0	1.4142135623706484	1.4142135623706484
283	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	1.0000000000016795	L-Serine	0	1.0000000000016795	1.0	1.0000000000008398	1.0000000000008398
284	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	2.3333333333241892	Folate	0	2.3333333333241892	1.0	1.5275252316489536	1.5275252316489536
285	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	3.3333333333189312	Riboflavin	0	3.3333333333189312	1.0	1.8257418583466096	1.8257418583466096
286	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	-799.2303646897188	PAN	0	799.2303646897188	-1.0	28.270662614974537	-28.270662614974537
304	Bacteroides_caecimuris_I48	L-Asparagine-e0	Microbe	-28.989573166235765	PAN	0	28.989573166235765	-1.0	5.384196612888107	-5.384196612888107
307	Bacteroides_caecimuris_I48	Ca2+-e0	Microbe	-0.9241112603083288	PAN	0	0.9241112603083288	-1.0	0.9613070582848795	-0.9613070582848795
309	Bacteroides_caecimuris_I48	Cu2+-e0	Microbe	-0.9241112603074321	PAN	0	0.9241112603074321	-1.0	0.9613070582844131	-0.9613070582844131
323	Bacteroides_caecimuris_I48	Fe2+-e0	Microbe	-1.9241112607987298	PAN	0	1.9241112607987298	-1.0	1.3871233761993667	-1.3871233761993667
341	Bacteroides_caecimuris_I48	Formate-e0	Microbe	-1.000000000007291	Folate	0	1.000000000007291	-1.0	1.0000000000036455	-1.0000000000036455
