	Source	Target	SourceType	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Enterococcus_faecalis_KB1	N-Acetyl-D-glucosamine-e0	Microbe	-0.9999999999999996	0.9999999999999996	-1.0	0.9999999999999998	-0.9999999999999998
1	Enterococcus_faecalis_KB1	Cl--e0	Microbe	-0.7060625360827572	0.7060625360827572	-1.0	0.8402752739922538	-0.8402752739922538
2	Enterococcus_faecalis_KB1	Fumarate-e0	Microbe	9.503941319489146	9.503941319489146	1.0	3.082846301632494	3.082846301632494
3	Muribaculum_intestinale_YL27	Mg-e0	Microbe	-0.9241112603197398	0.9241112603197398	-1.0	0.9613070582908146	-0.9613070582908146
4	Enterococcus_faecalis_KB1	D-Glucose-e0	Microbe	-31.32176771435147	31.32176771435147	-1.0	5.596585362017761	-5.596585362017761
5	Enterococcus_faecalis_KB1	L-Isoleucine-e0	Microbe	-38.57060811824859	38.57060811824859	-1.0	6.210523980973634	-6.210523980973634
6	Muribaculum_intestinale_YL27	L-Threonine	Microbe	-74.99313011373256	74.99313011373256	-1.0	8.659857395692644	-8.659857395692644
7	Muribaculum_intestinale_YL27	H2-e0	Microbe	1136.4544935598128	1136.4544935598128	1.0	33.71134072622762	33.71134072622762
8	Muribaculum_intestinale_YL27	K+-e0	Microbe	-0.9241112603183973	0.9241112603183973	-1.0	0.9613070582901164	-0.9613070582901164
9	Muribaculum_intestinale_YL27	L-Methionine-e0	Microbe	-20.482435295067113	20.482435295067113	-1.0	4.5257524562294735	-4.5257524562294735
10	Enterococcus_faecalis_KB1	Mg-e0	Microbe	-0.7060625360781979	0.7060625360781979	-1.0	0.8402752739895408	-0.8402752739895408
11	Enterococcus_faecalis_KB1	Ca2+-e0	Microbe	-0.7060625360789217	0.7060625360789217	-1.0	0.8402752739899715	-0.8402752739899715
12	Enterococcus_faecalis_KB1	O2-e0	Microbe	300.89903976843834	300.89903976843834	1.0	17.346441703370704	17.346441703370704
13	Enterococcus_faecalis_KB1	PAN	Microbe	-1.0000000001218836	1.0000000001218836	-1.0	1.0000000000609417	-1.0000000000609417
