	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	O2	5-Aminolevulinate	bc1001	0.03512654607767976	0.03512654607767976	1.0	0.18742077280194894	0.18742077280194894
1	D-Glucose	5-Aminolevulinate	bc1001	-0.07025309215538866	0.07025309215538866	-1.0	0.26505299876701766	-0.26505299876701766
2	O2	AMP	bc1001	0.12135241633642997	0.12135241633642997	1.0	0.34835673717674814	0.34835673717674814
3	D-Glucose	AMP	bc1001	-0.24270483267296425	0.24270483267296425	-1.0	0.49265082225950285	-0.49265082225950285
4	O2	Spermidine	bc1001	0.004390818259743729	0.004390818259743729	1.0	0.0662632496919954	0.0662632496919954
5	D-Glucose	Spermidine	bc1001	-0.00878163651949506	0.00878163651949506	-1.0	0.09371038640137527	-0.09371038640137527
6	O2	TRHL	bc1001	0.09268025556516565	0.09268025556516565	1.0	0.3044343206098249	0.3044343206098249
7	D-Glucose	TRHL	bc1001	-0.18536051113031957	0.18536051113031957	-1.0	0.43053514505823975	-0.43053514505823975
8	O2	L-Proline	bc1001	0.2884611259787073	0.2884611259787073	1.0	0.5370857715288195	0.5370857715288195
9	D-Glucose	L-Proline	bc1001	-0.5769222519574908	0.5769222519574908	-1.0	0.7595539822537242	-0.7595539822537242
10	O2	ddca	bc1001	0.11668819899090704	0.11668819899090704	1.0	0.3415965441729571	0.3415965441729571
11	D-Glucose	ddca	bc1001	-0.2333763979818312	0.2333763979818312	-1.0	0.4830904656291937	-0.4830904656291937
12	O2	CoA	bc1001	0.00878163651960345	0.00878163651960345	1.0	0.0937103864019536	0.0937103864019536
13	D-Glucose	CoA	bc1001	-0.017563273039207628	0.017563273039207628	-1.0	0.1325264993848688	-0.1325264993848688
14	O2	Heme	bc1001	0.004390818259803513	0.004390818259803513	1.0	0.06626324969244651	0.06626324969244651
15	D-Glucose	Heme	bc1001	-0.008781636519603188	0.008781636519603188	-1.0	0.0937103864019522	-0.0937103864019522
16	O2	CO2	bc1001	-0.07291375103293346	0.07291375103293346	-1.0	0.2700254636750643	-0.2700254636750643
17	D-Glucose	CO2	bc1001	2.145827502065694	2.145827502065694	1.0	1.464864328893872	1.464864328893872
18	O2	L-Methionine	bc1001	0.1911902068520989	0.1911902068520989	1.0	0.4372530238341399	0.4372530238341399
19	D-Glucose	L-Methionine	bc1001	-0.38238041370423215	0.38238041370423215	-1.0	0.6183691564949145	-0.6183691564949145
20	O2	L-Alanine	bc1001	0.7087264002018283	0.7087264002018283	1.0	0.8418588956599724	0.8418588956599724
21	D-Glucose	L-Alanine	bc1001	-1.4174528004037639	1.4174528004037639	-1.0	1.1905682678468144	-1.1905682678468144
22	O2	Sulfate	bc1001	0.004390818259714605	0.004390818259714605	1.0	0.06626324969177565	0.06626324969177565
23	D-Glucose	Sulfate	bc1001	-0.008781636519439731	0.008781636519439731	-1.0	0.09371038640108006	-0.09371038640108006
24	O2	L-Phenylalanine	bc1001	0.2417778036585048	0.2417778036585048	1.0	0.49170906403940207	0.49170906403940207
25	D-Glucose	L-Phenylalanine	bc1001	-0.4835556073170483	0.4835556073170483	-1.0	0.6953816271063309	-0.6953816271063309
26	O2	4-Hydroxybenzoate	bc1001	0.004390818259862337	0.004390818259862337	1.0	0.06626324969289038	0.06626324969289038
27	D-Glucose	4-Hydroxybenzoate	bc1001	-0.008781636519716076	0.008781636519716076	-1.0	0.09371038640255452	-0.09371038640255452
28	O2	NADP	bc1001	0.008781636519455151	0.008781636519455151	1.0	0.09371038640116233	0.09371038640116233
29	D-Glucose	NADP	bc1001	-0.017563273038909737	0.017563273038909737	-1.0	0.1325264993837449	-0.1325264993837449
30	O2	fe3	bc1001	0.013172454779341198	0.013172454779341198	1.0	0.11477131514163806	0.11477131514163806
31	D-Glucose	fe3	bc1001	-0.026344909558715802	0.026344909558715802	-1.0	0.16231115044480401	-0.16231115044480401
32	O2	Myristic acid	bc1001	0.11811741866347579	0.11811741866347579	1.0	0.3436821477229735	0.3436821477229735
33	D-Glucose	Myristic acid	bc1001	-0.23623483732693376	0.23623483732693376	-1.0	0.48603995445532433	-0.48603995445532433
34	O2	Deoxycytidine	bc1001	0.036111269721510283	0.036111269721510283	1.0	0.19002965484763235	0.19002965484763235
35	D-Glucose	Deoxycytidine	bc1001	-0.07222253944303783	0.07222253944303783	-1.0	0.26874251513863195	-0.26874251513863195
36	O2	Ca2+	bc1001	0.004390818259805569	0.004390818259805569	1.0	0.06626324969246203	0.06626324969246203
37	D-Glucose	Ca2+	bc1001	-0.008781636519605101	0.008781636519605101	-1.0	0.09371038640196241	-0.09371038640196241
38	O2	D-Arabinose	bc1001	0.11740280882720348	0.11740280882720348	1.0	0.3426409327958402	0.3426409327958402
39	D-Glucose	D-Arabinose	bc1001	-0.23480561765439556	0.23480561765439556	-1.0	0.4845674541840337	-0.4845674541840337
40	O2	Pyridoxal	bc1001	0.004390818259747176	0.004390818259747176	1.0	0.06626324969202142	0.06626324969202142
41	D-Glucose	Pyridoxal	bc1001	-0.008781636519502114	0.008781636519502114	-1.0	0.09371038640141291	-0.09371038640141291
42	O2	BET	bc1001	0.008781636519660326	0.008781636519660326	1.0	0.09371038640225707	0.09371038640225707
43	D-Glucose	BET	bc1001	-0.017563273039316058	0.017563273039316058	-1.0	0.13252649938527788	-0.13252649938527788
44	O2	Chorismate	bc1001	0.008781636519711353	0.008781636519711353	1.0	0.09371038640252932	0.09371038640252932
45	D-Glucose	Chorismate	bc1001	-0.01756327303941454	0.01756327303941454	-1.0	0.13252649938564942	-0.13252649938564942
46	O2	TTP	bc1001	0.01401264028010699	0.01401264028010699	1.0	0.11837499854321853	0.11837499854321853
47	D-Glucose	TTP	bc1001	-0.028025280560212727	0.028025280560212727	-1.0	0.16740752838571127	-0.16740752838571127
48	O2	L-Isoleucine	bc1001	0.37834394059527077	0.37834394059527077	1.0	0.6150966920698491	0.6150966920698491
49	D-Glucose	L-Isoleucine	bc1001	-0.7566878811906032	0.7566878811906032	-1.0	0.8698780840960434	-0.8698780840960434
50	O2	H+	bc1001	3.2247438951057883	3.2247438951057883	1.0	1.7957571926922047	1.7957571926922047
51	D-Glucose	H+	bc1001	-4.44948779021165	4.44948779021165	-1.0	2.1093809021159857	-2.1093809021159857
52	O2	Cl-	bc1001	0.0043908182597465015	0.0043908182597465015	1.0	0.06626324969201633	0.06626324969201633
53	D-Glucose	Cl-	bc1001	-0.008781636519495173	0.008781636519495173	-1.0	0.09371038640137588	-0.09371038640137588
54	O2	L-Tryptophan	bc1001	0.0738571965066366	0.0738571965066366	1.0	0.2717668053803418	0.2717668053803418
55	D-Glucose	L-Tryptophan	bc1001	-0.14771439301328712	0.14771439301328712	-1.0	0.384336301971707	-0.384336301971707
56	O2	Cu2+	bc1001	0.004390818259746825	0.004390818259746825	1.0	0.06626324969201877	0.06626324969201877
57	D-Glucose	Cu2+	bc1001	-0.008781636519498688	0.008781636519498688	-1.0	0.09371038640139463	-0.09371038640139463
58	O2	K+	bc1001	0.004390818259777116	0.004390818259777116	1.0	0.06626324969224733	0.06626324969224733
59	D-Glucose	K+	bc1001	-0.008781636519557153	0.008781636519557153	-1.0	0.09371038640170658	-0.09371038640170658
60	O2	dATP	bc1001	0.014012640280054433	0.014012640280054433	1.0	0.11837499854299653	0.11837499854299653
61	D-Glucose	dATP	bc1001	-0.028025280560108255	0.028025280560108255	-1.0	0.16740752838539924	-0.16740752838539924
62	O2	L-Glutamate	bc1001	0.39950641699978306	0.39950641699978306	1.0	0.6320651999594528	0.6320651999594528
63	D-Glucose	L-Glutamate	bc1001	-0.799012833999654	0.799012833999654	-1.0	0.8938751780867695	-0.8938751780867695
64	O2	L-Cysteine	bc1001	0.11914698681733596	0.11914698681733596	1.0	0.3451767472141424	0.3451767472141424
65	D-Glucose	L-Cysteine	bc1001	-0.23829397363468557	0.23829397363468557	-1.0	0.48815363732608363	-0.48815363732608363
66	O2	Formate	bc1001	0.004390818259800307	0.004390818259800307	1.0	0.06626324969242232	0.06626324969242232
67	D-Glucose	Formate	bc1001	-0.008781636519601463	0.008781636519601463	-1.0	0.093710386401943	-0.093710386401943
68	O2	Nitrite	bc1001	-0.02195409129854242	0.02195409129854242	-1.0	0.14816913072074905	-0.14816913072074905
69	D-Glucose	Nitrite	bc1001	0.04390818259702135	0.04390818259702135	1.0	0.20954279419016383	0.20954279419016383
70	O2	L-Leucine	bc1001	0.5873737420291356	0.5873737420291356	1.0	0.7664031197934515	0.7664031197934515
71	D-Glucose	L-Leucine	bc1001	-1.1747474840583674	1.1747474840583674	-1.0	1.0838576862569953	-1.0838576862569953
72	O2	Folate	bc1001	0.01317245477928607	0.01317245477928607	1.0	0.11477131514139789	0.11477131514139789
73	D-Glucose	Folate	bc1001	-0.026344909558572573	0.026344909558572573	-1.0	0.16231115044436278	-0.16231115044436278
74	O2	L-Histidine	bc1001	0.12402434885070036	0.12402434885070036	1.0	0.35217090858090533	0.35217090858090533
75	D-Glucose	L-Histidine	bc1001	-0.2480486977014316	0.2480486977014316	-1.0	0.4980448751884027	-0.4980448751884027
76	O2	S-Adenosyl-L-methionine	bc1001	0.013172454779414838	0.013172454779414838	1.0	0.11477131514195887	0.11477131514195887
77	D-Glucose	S-Adenosyl-L-methionine	bc1001	-0.026344909558831404	0.026344909558831404	-1.0	0.16231115044516012	-0.16231115044516012
78	O2	L-Threonine	bc1001	0.33026708626540013	0.33026708626540013	1.0	0.5746886863906406	0.5746886863906406
79	D-Glucose	L-Threonine	bc1001	-0.6605341725308749	0.6605341725308749	-1.0	0.8127325344360683	-0.8127325344360683
80	O2	L-Glutamine	bc1001	0.33402723783174737	0.33402723783174737	1.0	0.5779508956924865	0.5779508956924865
81	D-Glucose	L-Glutamine	bc1001	-0.6680544756635391	0.6680544756635391	-1.0	0.8173459950740195	-0.8173459950740195
82	O2	Adenosine	bc1001	0.04664956571573609	0.04664956571573609	1.0	0.21598510530991735	0.21598510530991735
83	D-Glucose	Adenosine	bc1001	-0.09329913143148075	0.09329913143148075	-1.0	0.30544906519988035	-0.30544906519988035
84	O2	Riboflavin	bc1001	0.013172454779340557	0.013172454779340557	1.0	0.11477131514163527	0.11477131514163527
85	D-Glucose	Riboflavin	bc1001	-0.02634490955868716	0.02634490955868716	-1.0	0.16231115044471578	-0.16231115044471578
86	O2	L-Aspartate	bc1001	0.3142414681555844	0.3142414681555844	1.0	0.5605724468394646	0.5605724468394646
87	D-Glucose	L-Aspartate	bc1001	-0.6284829363112187	0.6284829363112187	-1.0	0.7927691570130732	-0.7927691570130732
88	O2	H2O	bc1001	-9.457841091709811	9.457841091709811	-1.0	3.0753603190048824	-3.0753603190048824
89	D-Glucose	H2O	bc1001	20.915682183420888	20.915682183420888	1.0	4.573366613712582	4.573366613712582
90	O2	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1001	0.19493341825019983	0.19493341825019983	1.0	0.4415126478938059	0.4415126478938059
91	D-Glucose	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1001	-0.389866836500423	0.389866836500423	-1.0	0.6243931746106959	-0.6243931746106959
92	O2	Thiamin	bc1001	0.0043908182598121695	0.0043908182598121695	1.0	0.06626324969251184	0.06626324969251184
93	D-Glucose	Thiamin	bc1001	-0.008781636519623335	0.008781636519623335	-1.0	0.0937103864020597	-0.0937103864020597
94	O2	BIOT	bc1001	0.004390818259822448	0.004390818259822448	1.0	0.06626324969258938	0.06626324969258938
95	D-Glucose	BIOT	bc1001	-0.008781636519640063	0.008781636519640063	-1.0	0.09371038640214895	-0.09371038640214895
96	O2	L-Lysine	bc1001	0.44662700906394803	0.44662700906394803	1.0	0.668301585411817	0.668301585411817
97	D-Glucose	L-Lysine	bc1001	-0.8932540181278948	0.8932540181278948	-1.0	0.9451211658448322	-0.9451211658448322
98	O2	Putrescine	bc1001	0.004390818259795274	0.004390818259795274	1.0	0.06626324969238434	0.06626324969238434
99	D-Glucose	Putrescine	bc1001	-0.008781636519591832	0.008781636519591832	-1.0	0.09371038640189161	-0.09371038640189161
100	O2	meso-2,6-Diaminopimelate	bc1001	0.03913426960889335	0.03913426960889335	1.0	0.19782383478462182	0.19782383478462182
101	D-Glucose	meso-2,6-Diaminopimelate	bc1001	-0.07826853921778795	0.07826853921778795	-1.0	0.27976515011306885	-0.27976515011306885
102	O2	dGTP	bc1001	0.03172045146174332	0.03172045146174332	1.0	0.17810236231376417	0.17810236231376417
103	D-Glucose	dGTP	bc1001	-0.0634409029234976	0.0634409029234976	-1.0	0.25187477627483384	-0.25187477627483384
104	O2	Deoxyguanosine	bc1001	0.004390818259825929	0.004390818259825929	1.0	0.06626324969261566	0.06626324969261566
105	D-Glucose	Deoxyguanosine	bc1001	-0.008781636519644743	0.008781636519644743	-1.0	0.09371038640217393	-0.09371038640217393
106	O2	GTP	bc1001	0.2118720675583483	0.2118720675583483	1.0	0.46029563060966405	0.46029563060966405
107	D-Glucose	GTP	bc1001	-0.4237441351167406	0.4237441351167406	-1.0	0.650956323509297	-0.650956323509297
108	O2	Oxidized glutathione	bc1001	0.0021954091298902385	0.0021954091298902385	1.0	0.046855193200863426	0.046855193200863426
109	D-Glucose	Oxidized glutathione	bc1001	-0.004390818259766243	0.004390818259766243	-1.0	0.06626324969216528	-0.06626324969216528
110	O2	L-Valine	bc1001	0.5511419097805499	0.5511419097805499	1.0	0.7423893249370911	0.7423893249370911
111	D-Glucose	L-Valine	bc1001	-1.1022838195611997	1.1022838195611997	-1.0	1.0498970518870885	-1.0498970518870885
112	O2	Mg	bc1001	0.004390818259781048	0.004390818259781048	1.0	0.066263249692277	0.066263249692277
113	D-Glucose	Mg	bc1001	-0.00878163651956171	0.00878163651956171	-1.0	0.09371038640173089	-0.09371038640173089
114	O2	Niacin	bc1001	-0.0043908182597565525	0.0043908182597565525	-1.0	0.06626324969209217	-0.06626324969209217
115	D-Glucose	Niacin	bc1001	0.008781636519505968	0.008781636519505968	1.0	0.09371038640143348	0.09371038640143348
116	O2	CMP	bc1001	0.1315975574896757	0.1315975574896757	1.0	0.36276377642989066	0.36276377642989066
117	D-Glucose	CMP	bc1001	-0.2631951149793856	0.2631951149793856	-1.0	0.513025452564866	-0.513025452564866
118	O2	L-Serine	bc1001	0.33392087274850585	0.33392087274850585	1.0	0.577858869230633	0.577858869230633
119	D-Glucose	L-Serine	bc1001	-0.6678417454970661	0.6678417454970661	-1.0	0.8172158500035753	-0.8172158500035753
120	O2	Nicotinamide ribonucleotide	bc1001	0.004390818259696912	0.004390818259696912	1.0	0.06626324969164214	0.06626324969164214
121	D-Glucose	Nicotinamide ribonucleotide	bc1001	-0.008781636519375129	0.008781636519375129	-1.0	0.09371038640073537	-0.09371038640073537
122	O2	O2	bc1001	-0.9999999999999835	0.9999999999999835	-1.0	0.9999999999999917	-0.9999999999999917
123	O2	L-Asparagine	bc1001	0.3142414681555738	0.3142414681555738	1.0	0.5605724468394552	0.5605724468394552
124	D-Glucose	L-Asparagine	bc1001	-0.6284829363111979	0.6284829363111979	-1.0	0.79276915701306	-0.79276915701306
125	O2	N-Acetyl-D-glucosamine	bc1001	0.16092789669576787	0.16092789669576787	1.0	0.40115819410273534	0.40115819410273534
126	D-Glucose	N-Acetyl-D-glucosamine	bc1001	-0.321855793391546	0.321855793391546	-1.0	0.5673233587571959	-0.5673233587571959
127	O2	Co2+	bc1001	0.004390818259761406	0.004390818259761406	1.0	0.0662632496921288	0.0662632496921288
128	D-Glucose	Co2+	bc1001	-0.00878163651952599	0.00878163651952599	-1.0	0.09371038640154031	-0.09371038640154031
129	D-Glucose	D-Glucose	bc1001	-1.0000000000000715	1.0000000000000715	-1.0	1.0000000000000357	-1.0000000000000357
130	O2	Zn2+	bc1001	0.004390818259797364	0.004390818259797364	1.0	0.06626324969240012	0.06626324969240012
131	D-Glucose	Zn2+	bc1001	-0.00878163651958892	0.00878163651958892	-1.0	0.09371038640187607	-0.09371038640187607
132	O2	L-Tyrosine	bc1001	0.18882358729526896	0.18882358729526896	1.0	0.4345383611319822	0.4345383611319822
133	D-Glucose	L-Tyrosine	bc1001	-0.37764717459056857	0.37764717459056857	-1.0	0.6145300436842519	-0.6145300436842519
134	O2	Glycerol	bc1001	0.09746670912510064	0.09746670912510064	1.0	0.3121965873053398	0.3121965873053398
135	D-Glucose	Glycerol	bc1001	-0.19493341825021462	0.19493341825021462	-1.0	0.44151264789382266	-0.44151264789382266
136	O2	Acetate	bc1001	2.140485500732044	2.140485500732044	1.0	1.4630398151561166	1.4630398151561166
137	D-Glucose	Acetate	bc1001	-2.28097100146391	2.28097100146391	-1.0	1.510288383542663	-1.510288383542663
138	O2	Glycine	bc1001	0.7846246206930557	0.7846246206930557	1.0	0.8857903932043154	0.8857903932043154
139	D-Glucose	Glycine	bc1001	-1.5692492413862547	1.5692492413862547	-1.0	1.2526967874893966	-1.2526967874893966
140	O2	L-Arginine	bc1001	0.38600836664785626	0.38600836664785626	1.0	0.621295715941979	0.621295715941979
141	D-Glucose	L-Arginine	bc1001	-0.7720167332957778	0.7720167332957778	-1.0	0.8786448277294858	-0.8786448277294858
142	O2	UMP	bc1001	0.14651618034855252	0.14651618034855252	1.0	0.3827743203880748	0.3827743203880748
143	D-Glucose	UMP	bc1001	-0.2930323606971329	0.2930323606971329	-1.0	0.5413246352209854	-0.5413246352209854
144	O2	Ala-Ala	bc1001	0.03913426960893597	0.03913426960893597	1.0	0.19782383478472954	0.19782383478472954
145	D-Glucose	Ala-Ala	bc1001	-0.07826853921787523	0.07826853921787523	-1.0	0.27976515011322484	-0.27976515011322484
146	O2	Mn2+	bc1001	0.004390818259783605	0.004390818259783605	1.0	0.06626324969229629	0.06626324969229629
147	D-Glucose	Mn2+	bc1001	-0.008781636519571501	0.008781636519571501	-1.0	0.09371038640178313	-0.09371038640178313
148	O2	L-Proline	bc1012	-0.008011366870834959	0.008011366870834959	-1.0	0.08950623928439268	-0.08950623928439268
149	D-Glucose	L-Proline	bc1012	-0.024034100612462694	0.024034100612462694	-1.0	0.15502935403484946	-0.15502935403484946
150	O2	ddca	bc1012	-0.0010868673898275958	0.0010868673898275958	-1.0	0.032967671889710316	-0.032967671889710316
151	D-Glucose	ddca	bc1012	-0.0032606021694853477	0.0032606021694853477	-1.0	0.05710168272026095	-0.05710168272026095
152	O2	Fumarate	bc1012	2.0555058629963017	2.0555058629963017	1.0	1.4337035478076705	1.4337035478076705
153	D-Glucose	Fumarate	bc1012	-3.833482411009142	3.833482411009142	-1.0	1.957928091378522	-1.957928091378522
154	O2	Mg	bc1012	-0.00012194522164175473	0.00012194522164175473	-1.0	0.011042881039011274	-0.011042881039011274
155	D-Glucose	Mg	bc1012	-0.0003658356649221219	0.0003658356649221219	-1.0	0.019126831021424377	-0.019126831021424377
156	O2	L-Glutamate	bc1012	-0.011095403108405153	0.011095403108405153	-1.0	0.1053347193873186	-0.1053347193873186
157	D-Glucose	L-Glutamate	bc1012	-0.03328620932515322	0.03328620932515322	-1.0	0.1824450857796757	-0.1824450857796757
158	O2	CoA	bc1012	-0.00024389044327844265	0.00024389044327844265	-1.0	0.015616992132880219	-0.015616992132880219
159	D-Glucose	CoA	bc1012	-0.0007316713298407896	0.0007316713298407896	-1.0	0.027049423835652942	-0.027049423835652942
160	O2	O2	bc1012	-0.9999999999999928	0.9999999999999928	-1.0	0.9999999999999963	-0.9999999999999963
161	O2	Spermidine	bc1012	-0.00012194522163937137	0.00012194522163937137	-1.0	0.01104288103890336	-0.01104288103890336
162	D-Glucose	Spermidine	bc1012	-0.00036583566492132824	0.00036583566492132824	-1.0	0.01912683102140363	-0.01912683102140363
163	O2	L-Leucine	bc1012	-0.016313000657280394	0.016313000657280394	-1.0	0.1277223577032635	-0.1277223577032635
164	D-Glucose	L-Leucine	bc1012	-0.04893900197174955	0.04893900197174955	-1.0	0.22122161280433147	-0.22122161280433147
165	O2	TRHL	bc1012	-0.002573988181230628	0.002573988181230628	-1.0	0.05073448709931567	-0.05073448709931567
166	D-Glucose	TRHL	bc1012	-0.007721964543673824	0.007721964543673824	-1.0	0.08787470935185973	-0.08787470935185973
167	O2	dATP	bc1012	-0.0005180147391962217	0.0005180147391962217	-1.0	0.022759937152730052	-0.022759937152730052
168	D-Glucose	dATP	bc1012	-0.0015540442175905722	0.0015540442175905722	-1.0	0.039421367525627166	-0.039421367525627166
169	O2	Formate	bc1012	-0.00012194522164065433	0.00012194522164065433	-1.0	0.011042881038961451	-0.011042881038961451
170	D-Glucose	Formate	bc1012	-0.00036583566491933477	0.00036583566491933477	-1.0	0.019126831021351518	-0.019126831021351518
171	O2	L-Valine	bc1012	-0.015306742016499198	0.015306742016499198	-1.0	0.12372041875332947	-0.12372041875332947
172	D-Glucose	L-Valine	bc1012	-0.045920226049408985	0.045920226049408985	-1.0	0.21429005121425723	-0.21429005121425723
173	O2	BIOT	bc1012	-0.00012194522164225618	0.00012194522164225618	-1.0	0.01104288103903398	-0.01104288103903398
174	D-Glucose	BIOT	bc1012	-0.0003658356649229495	0.0003658356649229495	-1.0	0.019126831021446012	-0.019126831021446012
175	O2	H2O	bc1012	2.3167257982205887	2.3167257982205887	1.0	1.5220794322966817	1.5220794322966817
176	D-Glucose	H2O	bc1012	-1.0498226053342814	1.0498226053342814	-1.0	1.024608513206035	-1.024608513206035
177	O2	L-Lysine	bc1012	-0.012404072860398742	0.012404072860398742	-1.0	0.11137357343822071	-0.11137357343822071
178	D-Glucose	L-Lysine	bc1012	-0.03721221858112887	0.03721221858112887	-1.0	0.19290468781532727	-0.19290468781532727
179	O2	NADP	bc1012	-0.00024389044327365308	0.00024389044327365308	-1.0	0.015616992132726874	-0.015616992132726874
180	D-Glucose	NADP	bc1012	-0.000731671329849941	0.000731671329849941	-1.0	0.027049423835822105	-0.027049423835822105
181	O2	Cu2+	bc1012	-0.0001219452216407148	0.0001219452216407148	-1.0	0.011042881038964189	-0.011042881038964189
182	D-Glucose	Cu2+	bc1012	-0.00036583566492273955	0.00036583566492273955	-1.0	0.019126831021440523	-0.019126831021440523
183	O2	Ala-Ala	bc1012	-0.0010868673898301027	0.0010868673898301027	-1.0	0.032967671889748335	-0.032967671889748335
184	D-Glucose	Ala-Ala	bc1012	-0.0032606021694808114	0.0032606021694808114	-1.0	0.057101682720221224	-0.057101682720221224
185	O2	5-Aminolevulinate	bc1012	-0.0009755617731226466	0.0009755617731226466	-1.0	0.03123398426590253	-0.03123398426590253
186	D-Glucose	5-Aminolevulinate	bc1012	-0.002926685319388817	0.002926685319388817	-1.0	0.054098847671543035	-0.054098847671543035
187	O2	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1012	-0.005413842588636951	0.005413842588636951	-1.0	0.07357881888585159	-0.07357881888585159
188	D-Glucose	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1012	-0.01624152776586875	0.01624152776586875	-1.0	0.12744225267103823	-0.12744225267103823
189	O2	AMP	bc1012	-0.00466588178456549	0.00466588178456549	-1.0	0.06830726011607763	-0.06830726011607763
190	D-Glucose	AMP	bc1012	-0.013997645353437536	0.013997645353437536	-1.0	0.11831164504577533	-0.11831164504577533
191	O2	Folate	bc1012	-0.0003658356649206605	0.0003658356649206605	-1.0	0.019126831021386174	-0.019126831021386174
192	D-Glucose	Folate	bc1012	-0.0010975069947551964	0.0010975069947551964	-1.0	0.03312864311672297	-0.03312864311672297
193	O2	Riboflavin	bc1012	-0.00036583566493226627	0.00036583566493226627	-1.0	0.019126831021689564	-0.019126831021689564
194	D-Glucose	Riboflavin	bc1012	-0.0010975069947342549	0.0010975069947342549	-1.0	0.03312864311640691	-0.03312864311640691
195	O2	L-Isoleucine	bc1012	-0.010507662345081168	0.010507662345081168	-1.0	0.10250688925667956	-0.10250688925667956
196	D-Glucose	L-Isoleucine	bc1012	-0.03152298703518389	0.03152298703518389	-1.0	0.17754714031823743	-0.17754714031823743
197	O2	L-Threonine	bc1012	-0.00917243453327525	0.00917243453327525	-1.0	0.09577282773978875	-0.09577282773978875
198	D-Glucose	L-Threonine	bc1012	-0.027517303599773696	0.027517303599773696	-1.0	0.1658834036296992	-0.1658834036296992
199	O2	Co2+	bc1012	-0.00012194522164138593	0.00012194522164138593	-1.0	0.011042881038994576	-0.011042881038994576
200	D-Glucose	Co2+	bc1012	-0.00036583566492175655	0.00036583566492175655	-1.0	0.01912683102141483	-0.01912683102141483
201	O2	Nicotinamide ribonucleotide	bc1012	-0.00012194522164163812	0.00012194522164163812	-1.0	0.011042881039005996	-0.011042881039005996
202	D-Glucose	Nicotinamide ribonucleotide	bc1012	-0.0003658356649214007	0.0003658356649214007	-1.0	0.019126831021405524	-0.019126831021405524
203	O2	L-Cysteine	bc1012	-0.0033090428379544275	0.0033090428379544275	-1.0	0.057524280421005075	-0.057524280421005075
204	D-Glucose	L-Cysteine	bc1012	-0.009927128513845095	0.009927128513845095	-1.0	0.09963497635792912	-0.09963497635792912
205	O2	Mn2+	bc1012	-0.00012194522164137824	0.00012194522164137824	-1.0	0.011042881038994227	-0.011042881038994227
206	D-Glucose	Mn2+	bc1012	-0.00036583566492298555	0.00036583566492298555	-1.0	0.019126831021446956	-0.019126831021446956
207	O2	Cl-	bc1012	-0.00012194522164135754	0.00012194522164135754	-1.0	0.01104288103899329	-0.01104288103899329
208	D-Glucose	Cl-	bc1012	-0.0003658356649205869	0.0003658356649205869	-1.0	0.019126831021384252	-0.019126831021384252
209	O2	Chorismate	bc1012	-0.00024389044328348956	0.00024389044328348956	-1.0	0.015616992133041803	-0.015616992133041803
210	D-Glucose	Chorismate	bc1012	-0.0007316713298565402	0.0007316713298565402	-1.0	0.027049423835944088	-0.027049423835944088
211	O2	L-Histidine	bc1012	-0.0034445007319061018	0.0034445007319061018	-1.0	0.05868986907385381	-0.05868986907385381
212	D-Glucose	L-Histidine	bc1012	-0.010333502195697602	0.010333502195697602	-1.0	0.10165383512537833	-0.10165383512537833
213	O2	L-Aspartate	bc1012	-0.008727358596006988	0.008727358596006988	-1.0	0.09342033288319512	-0.09342033288319512
214	D-Glucose	L-Aspartate	bc1012	-0.026182075787969442	0.026182075787969442	-1.0	0.16180876301353225	-0.16180876301353225
215	O2	GTP	bc1012	-0.0058842759388603024	0.0058842759388603024	-1.0	0.0767090342714618	-0.0767090342714618
216	D-Glucose	GTP	bc1012	-0.01765282781654273	0.01765282781654273	-1.0	0.13286394475757043	-0.13286394475757043
217	O2	H+	bc1012	-0.09029983979339594	0.09029983979339594	-1.0	0.3004993174591183	-0.3004993174591183
218	D-Glucose	H+	bc1012	1.7291004806154755	1.7291004806154755	1.0	1.314952653374058	1.314952653374058
219	O2	Niacin	bc1012	0.00012194522164191889	0.00012194522164191889	1.0	0.011042881039018708	0.011042881039018708
220	D-Glucose	Niacin	bc1012	0.0003658356649215773	0.0003658356649215773	1.0	0.01912683102141014	0.01912683102141014
221	O2	Oxidized glutathione	bc1012	-6.09726108201474e-05	6.09726108201474e-05	-1.0	0.007808496066474478	-0.007808496066474478
