	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
10	Melitose-e0	Phosphate-e0	Limosilactobacillus_reuteri_I49	-4.146132070966128	4.146132070966128	-1.0	2.036205311594616	-2.036205311594616
23	D-Glucose-e0	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-0.5000000000032032	0.5000000000032032	-1.0	0.7071067811888125	-0.7071067811888125
26	Putrescine-e0	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	2.500000000001034	2.500000000001034	1.0	1.5811388300845166	1.5811388300845166
30	Spermidine-e0	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-2.833333333337304	2.833333333337304	-1.0	1.6832508230615257	-1.6832508230615257
35	Pyruvate-e0	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-2.0000000000015112	2.0000000000015112	-1.0	1.4142135623736294	-1.4142135623736294
37	L-Asparagine-e0	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-1.3333333333339787	1.3333333333339787	-1.0	1.154700538379531	-1.154700538379531
44	D-Mannose-e0	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-2.000000000002368	2.000000000002368	-1.0	1.4142135623739323	-1.4142135623739323
45	Melitose-e0	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	52.690697102423	52.690697102423	1.0	7.258835795251398	7.258835795251398
57	Folate-e0	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-14.166666666681337	14.166666666681337	-1.0	3.763863263547354	-3.763863263547354
63	Urea-e0	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-1.0000000000005653	1.0000000000005653	-1.0	1.0000000000002827	-1.0000000000002827
65	D-Glyceraldehyde-e0	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-0.1666666666675866	0.1666666666675866	-1.0	0.40824829046498967	-0.40824829046498967
70	Sucrose	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-2.1666666666729277	2.1666666666729277	-1.0	1.4719601443901011	-1.4719601443901011
71	Thiamine	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-20.833333333352996	20.833333333352996	-1.0	4.564354645878538	-4.564354645878538
72	Cytosine	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-4.500000000003576	4.500000000003576	-1.0	2.1213203435604853	-2.1213203435604853
77	D-Glucose-e0	D-Glucose-e0	Limosilactobacillus_reuteri_I49	-0.9999999999999999	0.9999999999999999	-1.0	0.9999999999999999	-0.9999999999999999
84	Melitose-e0	Mn2+-e0	Limosilactobacillus_reuteri_I49	-0.022542231413051634	0.022542231413051634	-1.0	0.15014070538348898	-0.15014070538348898
101	Melitose-e0	Zn2+-e0	Limosilactobacillus_reuteri_I49	-0.02254223141379791	0.02254223141379791	-1.0	0.1501407053859742	-0.1501407053859742
115	Putrescine-e0	L-Lysine-e0	Limosilactobacillus_reuteri_I49	-2.0000000000003193	2.0000000000003193	-1.0	1.414213562373208	-1.414213562373208
123	Pyruvate-e0	L-Lysine-e0	Limosilactobacillus_reuteri_I49	1.0000000000007132	1.0000000000007132	1.0	1.0000000000003566	1.0000000000003566
124	L-Asparagine-e0	L-Lysine-e0	Limosilactobacillus_reuteri_I49	1.0000000000002534	1.0000000000002534	1.0	1.0000000000001266	1.0000000000001266
128	D-Mannose-e0	L-Lysine-e0	Limosilactobacillus_reuteri_I49	1.000000000001159	1.000000000001159	1.0	1.0000000000005795	1.0000000000005795
