	Acutalibacter_muris_KB1	Enterococcus_faecalis_KB1	In	InAmount	Out	OutAmount	All	AllAmount
5'-Deoxyadenosine-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
5-Methylthio-D-ribose-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Acetate-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Adenine	0.0	0.0		0		0		0
Anserine	0.0	0.0		0		0		0
BIOT-e0	0.0	0.0		0		0		0
CO2-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Ca2+-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Carnitine	0.0	0.0		0		0		0
Carnosine	0.0	0.0		0		0		0
Cd2+-e0	0.0	0.0		0		0		0
Cellulose	0.0	0.0		0		0		0
Cholesterol	0.0	0.0		0		0		0
Choline-e0	0.0	0.0		0		0		0
Chromium	0.0	0.0		0		0		0
Citrulline	0.0	0.0		0		0		0
Cl--e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Co2+-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Creatine	0.0	0.0		0		0		0
Creatinine	0.0	0.0		0		0		0
Cu2+-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Cytosine	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
D-Glucose-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
D-Mannose-e0	0.0	-1.4164891481982522e-11	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Ethanol-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Fe2+-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Folate-e0	0.0	-4.1956216279004366e-11	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Formate-e0-e0	0.0	0.0		0		0		0
Fumarate-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Galactose-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Gamma-Tocopherol	0.0	0.0		0		0		0
Glycerol-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Glycine-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Guanidine	0.0	0.0		0		0		0
Guanine	0.0	0.0		0		0		0
H+-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
H2-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
H2O-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
H2S-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Heme-e0	0.0	9.476863738200336e-12	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Hemin	0.0	0.0		0		0		0
Hydrocortisone	0.0	0.0		0		0		0
Hypoxanthine	0.0	0.0		0		0		0
Inosine	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Inosine-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
K+-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
L-Alanine-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
L-Arginine-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
L-Ascorbate	0.0	0.0		0		0		0
L-Ascorbate-e0	0.0	0.0		0		0		0
L-Asparagine-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
L-Aspartate-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Cysteine-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0		0		0		0
L-Glutamate-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Glutamine-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
L-Histidine-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
L-Isoleucine	0.0	0.0		0		0		0
L-Isoleucine-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Lactate-e0	-3.039235529911366e-15	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
L-Leucine	0.0	0.0		0		0		0
L-Leucine-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Lysine-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
L-Methionine-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
L-Phenylalanine	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
L-Phenylalanine-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Proline-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
L-Serine-e0	0.0	-4.4256820430632615e-12	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
L-Threonine-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
L-Tryptophan	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
L-Tryptophan-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Tyrosine-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
