	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
2	PAN	Phosphate-e0	Bacteroides_caecimuris_I48	-127.45775495793565	127.45775495793565	-1.0	11.289718993754258	-11.289718993754258
4	PAN	Mn2+-e0	Bacteroides_caecimuris_I48	-0.9241112603065328	0.9241112603065328	-1.0	0.9613070582839454	-0.9613070582839454
6	PAN	Zn2+-e0	Bacteroides_caecimuris_I48	-0.9241112603054557	0.9241112603054557	-1.0	0.9613070582833851	-0.9613070582833851
20	PAN	Sulfate-e0	Bacteroides_caecimuris_I48	-0.9241112592156671	0.9241112592156671	-1.0	0.9613070577165587	-0.9613070577165587
23	PAN	Co2+-e0	Bacteroides_caecimuris_I48	-0.924111260305141	0.924111260305141	-1.0	0.9613070582832215	-0.9613070582832215
25	Spermidine-e0	Spermidine-e0	Bacteroides_caecimuris_I48	-0.9999999999999996	0.9999999999999996	-1.0	0.9999999999999998	-0.9999999999999998
39	PAN	fe3-e0	Bacteroides_caecimuris_I48	-0.924111259888982	0.924111259888982	-1.0	0.9613070580667668	-0.9613070580667668
42	Spermidine-e0	H+-e0	Bacteroides_caecimuris_I48	5.666666666661295	5.666666666661295	1.0	2.3804761428464882	2.3804761428464882
47	D-Glucose-e0	H+-e0	Bacteroides_caecimuris_I48	1.9999999999942684	1.9999999999942684	1.0	1.4142135623710685	1.4142135623710685
69	Folate	H+-e0	Bacteroides_caecimuris_I48	-1.6666666666864693	1.6666666666864693	-1.0	1.2909944487434752	-1.2909944487434752
70	Riboflavin	H+-e0	Bacteroides_caecimuris_I48	-0.6666666666825796	0.6666666666825796	-1.0	0.8164965809374707	-0.8164965809374707
71	PAN	H+-e0	Bacteroides_caecimuris_I48	-864.7545514747869	864.7545514747869	-1.0	29.406709293540256	-29.406709293540256
90	PAN	Uracil-e0	Bacteroides_caecimuris_I48	-39.64223087676276	39.64223087676276	-1.0	6.296207658325983	-6.296207658325983
95	L-Malate-e0	L-Malate-e0	Bacteroides_caecimuris_I48	-1.0000000000000004	1.0000000000000004	-1.0	1.0000000000000002	-1.0000000000000002
134	Folate	L-Aspartate-e0	Bacteroides_caecimuris_I48	0.9999999999715715	0.9999999999715715	1.0	0.9999999999857857	0.9999999999857857
135	Riboflavin	L-Aspartate-e0	Bacteroides_caecimuris_I48	0.999999999970039	0.999999999970039	1.0	0.9999999999850194	0.9999999999850194
136	PAN	L-Aspartate-e0	Bacteroides_caecimuris_I48	-1040.0033223842079	1040.0033223842079	-1.0	32.24908250453349	-32.24908250453349
138	D-Glucose-e0	D-Glucose-e0	Bacteroides_caecimuris_I48	-0.999999999999999	0.999999999999999	-1.0	0.9999999999999994	-0.9999999999999994
152	PAN	L-Cysteine-e0	Bacteroides_caecimuris_I48	-13.013505963844823	13.013505963844823	-1.0	3.6074237294563587	-3.6074237294563587
169	PAN	L-Glutamate-e0	Bacteroides_caecimuris_I48	-32.89617989615883	32.89617989615883	-1.0	5.735519147920162	-5.735519147920162
184	PAN	L-Histidine-e0	Bacteroides_caecimuris_I48	-11.393282031225084	11.393282031225084	-1.0	3.3753936113029965	-3.3753936113029965
186	Spermidine-e0	L-Arginine-e0	Bacteroides_caecimuris_I48	0.9999999999998666	0.9999999999998666	1.0	0.9999999999999333	0.9999999999999333
200	PAN	L-Arginine-e0	Bacteroides_caecimuris_I48	-36.57235834164002	36.57235834164002	-1.0	6.04750844080767	-6.04750844080767
215	PAN	L-Lysine-e0	Bacteroides_caecimuris_I48	-41.26899935718108	41.26899935718108	-1.0	6.42409521700769	-6.42409521700769
235	Folate	Inosine-e0	Bacteroides_caecimuris_I48	0.9999999999984508	0.9999999999984508	1.0	0.9999999999992254	0.9999999999992254
236	Riboflavin	Inosine-e0	Bacteroides_caecimuris_I48	0.9999999999986371	0.9999999999986371	1.0	0.9999999999993185	0.9999999999993185
237	PAN	Inosine-e0	Bacteroides_caecimuris_I48	-60.08478561334813	60.08478561334813	-1.0	7.751437648162316	-7.751437648162316
241	Spermidine-e0	NH3-e0	Bacteroides_caecimuris_I48	-0.999999999989949	0.999999999989949	-1.0	0.9999999999949745	-0.9999999999949745
245	Fumarate-e0	NH3-e0	Bacteroides_caecimuris_I48	-0.9999999999978633	0.9999999999978633	-1.0	0.9999999999989316	-0.9999999999989316
270	Folate	NH3-e0	Bacteroides_caecimuris_I48	-5.999999999967602	5.999999999967602	-1.0	2.449489742776565	-2.449489742776565
271	Riboflavin	NH3-e0	Bacteroides_caecimuris_I48	-2.999999999971659	2.999999999971659	-1.0	1.732050807560696	-1.732050807560696
272	PAN	NH3-e0	Bacteroides_caecimuris_I48	1290.61592234501	1290.61592234501	1.0	35.925143316972445	35.925143316972445
289	PAN	Neu5Ac-e0	Bacteroides_caecimuris_I48	-6.992697025836412	6.992697025836412	-1.0	2.6443708185192962	-2.6443708185192962
292	Spermidine-e0	Acetate-e0	Bacteroides_caecimuris_I48	2.6666666666589642	2.6666666666589642	1.0	1.6329931618530937	1.6329931618530937
297	D-Glucose-e0	Acetate-e0	Bacteroides_caecimuris_I48	1.9999999999932674	1.9999999999932674	1.0	1.4142135623707146	1.4142135623707146
298	Fumarate-e0	Acetate-e0	Bacteroides_caecimuris_I48	-0.9999999999993725	0.9999999999993725	-1.0	0.9999999999996863	-0.9999999999996863
327	Folate	Acetate-e0	Bacteroides_caecimuris_I48	-3.6666666666779566	3.6666666666779566	-1.0	1.9148542155156243	-1.9148542155156243
328	Riboflavin	Acetate-e0	Bacteroides_caecimuris_I48	1.3333333333180135	1.3333333333180135	1.0	1.1547005383726179	1.1547005383726179
329	PAN	Acetate-e0	Bacteroides_caecimuris_I48	-361.4336712520629	361.4336712520629	-1.0	19.011408975982366	-19.011408975982366
347	PAN	L-Asparagine-e0	Bacteroides_caecimuris_I48	-28.989573166461618	28.989573166461618	-1.0	5.384196612909081	-5.384196612909081
350	PAN	Ca2+-e0	Bacteroides_caecimuris_I48	-0.9241112603047931	0.9241112603047931	-1.0	0.9613070582830405	-0.9613070582830405
352	PAN	Cu2+-e0	Bacteroides_caecimuris_I48	-0.9241112603048264	0.9241112603048264	-1.0	0.9613070582830578	-0.9613070582830578
366	PAN	Fe2+-e0	Bacteroides_caecimuris_I48	-1.9241112607065982	1.9241112607065982	-1.0	1.3871233761661572	-1.3871233761661572
382	Folate	Formate-e0	Bacteroides_caecimuris_I48	-0.9999999999993147	0.9999999999993147	-1.0	0.9999999999996573	-0.9999999999996573
383	Riboflavin	Formate-e0	Bacteroides_caecimuris_I48	-2.99999999999864	2.99999999999864	-1.0	1.7320508075684848	-1.7320508075684848
384	PAN	Formate-e0	Bacteroides_caecimuris_I48	5.499999999257225	5.499999999257225	1.0	2.345207879753355	2.345207879753355
386	Fumarate-e0	Fumarate-e0	Bacteroides_caecimuris_I48	-1.0000000000000009	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
404	PAN	K+-e0	Bacteroides_caecimuris_I48	-0.9241112603062744	0.9241112603062744	-1.0	0.961307058283811	-0.961307058283811
407	Spermidine-e0	L-Methionine-e0	Bacteroides_caecimuris_I48	0.9999999999993865	0.9999999999993865	1.0	0.9999999999996932	0.9999999999996932
421	PAN	L-Methionine-e0	Bacteroides_caecimuris_I48	-19.482435294420565	19.482435294420565	-1.0	4.413891173830701	-4.413891173830701
427	L-Malate-e0	Succinate-e0	Bacteroides_caecimuris_I48	0.9999999999976431	0.9999999999976431	1.0	0.9999999999988215	0.9999999999988215
430	Fumarate-e0	Succinate-e0	Bacteroides_caecimuris_I48	1.0000000000006672	1.0000000000006672	1.0	1.0000000000003335	1.0000000000003335
452	Folate	Succinate-e0	Bacteroides_caecimuris_I48	-0.999999999973192	0.999999999973192	-1.0	0.9999999999865959	-0.9999999999865959
453	Riboflavin	Succinate-e0	Bacteroides_caecimuris_I48	-0.9999999999721874	0.9999999999721874	-1.0	0.9999999999860937	-0.9999999999860937
454	PAN	Succinate-e0	Bacteroides_caecimuris_I48	1000.2655749604978	1000.2655749604978	1.0	31.626975431749678	31.626975431749678
459	PAN	Cl--e0	Bacteroides_caecimuris_I48	-0.9241112603053323	0.9241112603053323	-1.0	0.961307058283321	-0.961307058283321
465	Spermidine-e0	H2-e0	Bacteroides_caecimuris_I48	2.6666666666577714	2.6666666666577714	1.0	1.6329931618527285	1.6329931618527285
470	D-Glucose-e0	H2-e0	Bacteroides_caecimuris_I48	1.9999999999925895	1.9999999999925895	1.0	1.414213562370475	1.414213562370475
471	Fumarate-e0	H2-e0	Bacteroides_caecimuris_I48	-0.9999999999978005	0.9999999999978005	-1.0	0.9999999999989002	-0.9999999999989002
501	Folate	H2-e0	Bacteroides_caecimuris_I48	-3.6666666666725627	3.6666666666725627	-1.0	1.9148542155142159	-1.9148542155142159
502	Riboflavin	H2-e0	Bacteroides_caecimuris_I48	1.3333333333182642	1.3333333333182642	1.0	1.1547005383727265	1.1547005383727265
503	PAN	H2-e0	Bacteroides_caecimuris_I48	-7.58229178778073	7.58229178778073	-1.0	2.753596155535653	-2.753596155535653
510	PAN	Mg-e0	Bacteroides_caecimuris_I48	-0.9241112603068453	0.9241112603068453	-1.0	0.9613070582841079	-0.9613070582841079
550	PAN	Sucrose-e0	Bacteroides_caecimuris_I48	-6.9926970262385195	6.9926970262385195	-1.0	2.644370818595327	-2.644370818595327
556	PAN	Glycerol-e0	Bacteroides_caecimuris_I48	3.9543954169914644	3.9543954169914644	1.0	1.9885661711372504	1.9885661711372504
595	Spermidine-e0	CO2-e0	Bacteroides_caecimuris_I48	-0.3333333333331281	0.3333333333331281	-1.0	0.577350269189448	-0.577350269189448
600	D-Glucose-e0	CO2-e0	Bacteroides_caecimuris_I48	2.000000000000947	2.000000000000947	1.0	1.4142135623734298	1.4142135623734298
601	Fumarate-e0	CO2-e0	Bacteroides_caecimuris_I48	-0.999999999999	0.999999999999	-1.0	0.9999999999995	-0.9999999999995
631	Folate	CO2-e0	Bacteroides_caecimuris_I48	-3.666666666659643	3.666666666659643	-1.0	1.9148542155108421	-1.9148542155108421
632	Riboflavin	CO2-e0	Bacteroides_caecimuris_I48	1.333333333337151	1.333333333337151	1.0	1.1547005383809046	1.1547005383809046
633	PAN	CO2-e0	Bacteroides_caecimuris_I48	286.1465604819957	286.1465604819957	1.0	16.91586712178822	16.91586712178822
639	Spermidine-e0	O2-e0	Bacteroides_caecimuris_I48	-0.8333333333233921	0.8333333333233921	-1.0	0.9128709291698318	-0.9128709291698318
643	L-Malate-e0	O2-e0	Bacteroides_caecimuris_I48	0.49999999999777117	0.49999999999777117	1.0	0.7071067811849715	0.7071067811849715
645	D-Glucose-e0	O2-e0	Bacteroides_caecimuris_I48	-0.9999999999902641	0.9999999999902641	-1.0	0.999999999995132	-0.999999999995132
647	Fumarate-e0	O2-e0	Bacteroides_caecimuris_I48	0.5000000000011805	0.5000000000011805	1.0	0.7071067811873822	0.7071067811873822
676	Folate	O2-e0	Bacteroides_caecimuris_I48	-0.6666666666409155	0.6666666666409155	-1.0	0.8164965809119566	-0.8164965809119566
677	Riboflavin	O2-e0	Bacteroides_caecimuris_I48	-2.166666666641853	2.166666666641853	-1.0	1.4719601443795458	-1.4719601443795458
678	PAN	O2-e0	Bacteroides_caecimuris_I48	1030.3936232657104	1030.3936232657104	1.0	32.09974490966728	32.09974490966728
682	Spermidine-e0	5-Methylthio-D-ribose-e0	Bacteroides_caecimuris_I48	-0.9999999999999949	0.9999999999999949	-1.0	0.9999999999999974	-0.9999999999999974
684	PAN	5-Methylthio-D-ribose-e0	Bacteroides_caecimuris_I48	0.4999999999920305	0.4999999999920305	1.0	0.7071067811809122	0.7071067811809122
735	PAN	L-Glycine	Bacteroides_caecimuris_I48	-88.30366232711121	88.30366232711121	-1.0	9.397002837453611	-9.397002837453611
738	PAN	L-Phenylalanine	Bacteroides_caecimuris_I48	-22.28019597184899	22.28019597184899	-1.0	4.720190247421071	-4.720190247421071
740	PAN	L-Proline	Bacteroides_caecimuris_I48	-26.58432473913982	26.58432473913982	-1.0	5.155998907984739	-5.155998907984739
741	Spermidine-e0	L-Serine	Bacteroides_caecimuris_I48	-0.9999999999999326	0.9999999999999326	-1.0	0.9999999999999662	-0.9999999999999662
746	Fumarate-e0	L-Serine	Bacteroides_caecimuris_I48	0.999999999998056	0.999999999998056	1.0	0.999999999999028	0.999999999999028
776	Folate	L-Serine	Bacteroides_caecimuris_I48	5.99999999998901	5.99999999998901	1.0	2.449489742780935	2.449489742780935
777	Riboflavin	L-Serine	Bacteroides_caecimuris_I48	1.9999999999950802	1.9999999999950802	1.0	1.4142135623713556	1.4142135623713556
778	PAN	L-Serine	Bacteroides_caecimuris_I48	-543.2415571975314	543.2415571975314	-1.0	23.30754292493165	-23.30754292493165
797	PAN	L-Threonine	Bacteroides_caecimuris_I48	-75.99313011295725	75.99313011295725	-1.0	8.717403863132489	-8.717403863132489
812	PAN	L-Tryptophan	Bacteroides_caecimuris_I48	-6.83596921869197	6.83596921869197	-1.0	2.6145686486860447	-2.6145686486860447
827	PAN	L-Tyrosine	Bacteroides_caecimuris_I48	-17.083554956420457	17.083554956420457	-1.0	4.1332257325750374	-4.1332257325750374
829	Folate	Folate	Bacteroides_caecimuris_I48	-1.0000000000000002	1.0000000000000002	-1.0	1.0	-1.0
830	Riboflavin	Riboflavin	Bacteroides_caecimuris_I48	-0.9999999999999996	0.9999999999999996	-1.0	0.9999999999999998	-0.9999999999999998
831	PAN	PAN	Bacteroides_caecimuris_I48	-0.9999999999999617	0.9999999999999617	-1.0	0.9999999999999808	-0.9999999999999808
845	Folate	Glutamine	Bacteroides_caecimuris_I48	0.9999999999994045	0.9999999999994045	1.0	0.9999999999997022	0.9999999999997022
846	PAN	Glutamine	Bacteroides_caecimuris_I48	-34.14800564236083	34.14800564236083	-1.0	5.843629492221494	-5.843629492221494
849	Folate	Glycolaldehyde-e0	Bacteroides_caecimuris_I48	-0.9999999999999462	0.9999999999999462	-1.0	0.999999999999973	-0.999999999999973
850	PAN	Glycolaldehyde-e0	Bacteroides_caecimuris_I48	1.499999999977349	1.499999999977349	1.0	1.224744871382342	1.224744871382342
865	PAN	5'-Deoxyadenosine-e0	Bacteroides_caecimuris_I48	1.5000000000646063	1.5000000000646063	1.0	1.2247448714179645	1.2247448714179645
883	PAN	Sorbitol-e0-e0	Bacteroides_caecimuris_I48	6.992697021666624	6.992697021666624	1.0	2.6443708177308687	2.6443708177308687
888	D-Glucose-e0	H2O-e0	Limosilactobacillus_reuteri_I49	2.0000000000086184	2.0000000000086184	1.0	1.414213562376142	1.414213562376142
890	L-Arginine-e0	H2O-e0	Limosilactobacillus_reuteri_I49	-1.9999999999970017	1.9999999999970017	-1.0	1.414213562372035	-1.414213562372035
891	L-Glutamine-e0	H2O-e0	Limosilactobacillus_reuteri_I49	-0.9999999999983978	0.9999999999983978	-1.0	0.9999999999991989	-0.9999999999991989
892	Galactose-e0	H2O-e0	Limosilactobacillus_reuteri_I49	2.000000000011423	2.000000000011423	1.0	1.4142135623771337	1.4142135623771337
897	Uracil-e0	H2O-e0	Limosilactobacillus_reuteri_I49	-2.999999999994029	2.999999999994029	-1.0	1.7320508075671537	-1.7320508075671537
900	L-Malate-e0	H2O-e0	Limosilactobacillus_reuteri_I49	1.000000000007881	1.000000000007881	1.0	1.0000000000039404	1.0000000000039404
901	Glycolate-e0	H2O-e0	Limosilactobacillus_reuteri_I49	1.0000000000083082	1.0000000000083082	1.0	1.000000000004154	1.000000000004154
902	L-Asparagine-e0	H2O-e0	Limosilactobacillus_reuteri_I49	-0.9999999999925534	0.9999999999925534	-1.0	0.9999999999962766	-0.9999999999962766
908	D-Mannose-e0	H2O-e0	Limosilactobacillus_reuteri_I49	-1.0000000000008746	1.0000000000008746	-1.0	1.0000000000004372	-1.0000000000004372
909	Melitose-e0	H2O-e0	Limosilactobacillus_reuteri_I49	4.000000000032428	4.000000000032428	1.0	2.000000000008107	2.000000000008107
921	Folate-e0	H2O-e0	Limosilactobacillus_reuteri_I49	-6.999999999994631	6.999999999994631	-1.0	2.645751311063576	-2.645751311063576
927	Urea-e0	H2O-e0	Limosilactobacillus_reuteri_I49	-0.9999999999987	0.9999999999987	-1.0	0.99999999999935	-0.99999999999935
932	Sucrose	H2O-e0	Limosilactobacillus_reuteri_I49	3.00000000002009	3.00000000002009	1.0	1.7320508075746768	1.7320508075746768
933	Thiamine	H2O-e0	Limosilactobacillus_reuteri_I49	-8.999999999971514	8.999999999971514	-1.0	2.9999999999952522	-2.9999999999952522
934	Riboflavin	H2O-e0	Limosilactobacillus_reuteri_I49	-3.999999999991674	3.999999999991674	-1.0	1.9999999999979186	-1.9999999999979186
935	PAN	H2O-e0	Limosilactobacillus_reuteri_I49	748.9026164281378	748.9026164281378	1.0	27.366085149837158	27.366085149837158
940	Glycine-e0	Glycine-e0	Limosilactobacillus_reuteri_I49	-1.0000000000000004	1.0000000000000004	-1.0	1.0000000000000002	-1.0000000000000002
949	PAN	Phosphate-e0	Limosilactobacillus_reuteri_I49	-129.8641856181989	129.8641856181989	-1.0	11.39579683998442	-11.39579683998442
951	L-Glutamate-e0	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-1.0000000000000002	1.0000000000000002	-1.0	1.0	-1.0
952	D-Glucose-e0	D-Glucose-e0	Limosilactobacillus_reuteri_I49	-1.0	1.0	-1.0	1.0	-1.0
955	PAN	Mn2+-e0	Limosilactobacillus_reuteri_I49	-0.706062535968132	0.706062535968132	-1.0	0.8402752739240469	-0.8402752739240469
963	PAN	Zn2+-e0	Limosilactobacillus_reuteri_I49	-0.7060625360086392	0.7060625360086392	-1.0	0.8402752739481504	-0.8402752739481504
972	PAN	L-Lysine-e0	Limosilactobacillus_reuteri_I49	-36.35966193441624	36.35966193441624	-1.0	6.0298973402883265	-6.0298973402883265
974	L-Aspartate-e0	L-Aspartate-e0	Limosilactobacillus_reuteri_I49	-1.0000000000000004	1.0000000000000004	-1.0	1.0000000000000002	-1.0000000000000002
976	PAN	Sulfate-e0	Limosilactobacillus_reuteri_I49	-0.7060625359684871	0.7060625359684871	-1.0	0.8402752739242582	-0.8402752739242582
977	L-Arginine-e0	L-Arginine-e0	Limosilactobacillus_reuteri_I49	-0.9999999999999991	0.9999999999999991	-1.0	0.9999999999999996	-0.9999999999999996
978	L-Glutamine-e0	L-Glutamine-e0	Limosilactobacillus_reuteri_I49	-1.0000000000000009	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
980	Galactose-e0	Galactose-e0	Limosilactobacillus_reuteri_I49	-0.9999999999999994	0.9999999999999994	-1.0	0.9999999999999997	-0.9999999999999997
981	Putrescine-e0	Putrescine-e0	Limosilactobacillus_reuteri_I49	-1.000000000000002	1.000000000000002	-1.0	1.0000000000000009	-1.0000000000000009
983	PAN	L-Histidine-e0	Limosilactobacillus_reuteri_I49	-9.204977704902815	9.204977704902815	-1.0	3.0339706170137535	-3.0339706170137535
984	Glycine-e0	L-Proline-e0	Limosilactobacillus_reuteri_I49	0.12499999999864929	0.12499999999864929	1.0	0.3535533905913636	0.3535533905913636
985	L-Glutamate-e0	L-Proline-e0	Limosilactobacillus_reuteri_I49	0.5000000000000561	0.5000000000000561	1.0	0.7071067811865872	0.7071067811865872
986	D-Glucose-e0	L-Proline-e0	Limosilactobacillus_reuteri_I49	0.9999999999977367	0.9999999999977367	1.0	0.9999999999988683	0.9999999999988683
988	L-Aspartate-e0	L-Proline-e0	Limosilactobacillus_reuteri_I49	0.4999999999974986	0.4999999999974986	1.0	0.7071067811847788	0.7071067811847788
